cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_formato,r_formato,p_formato,persleclrp,edad,sexo,anio,nivel,cond_activ
14,0219,11B167,01,40006,3,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,18795,4,4,2, , , ,2,52,2,3,3,01
14,0219,11B167,01,40006,2,1,0,01,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,5, ,2,2,2,2,2,1,2,0,1,1,1,1,1,1,2,15188,4,4,2, , , ,2,75,1,3,3,08
14,0219,11B167,01,40006,1,1,0,01,1,2,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,1,4, ,1,1,1,1,1,2,0,1,2,1, ,0,0,0,0,0, ,15,2,0, ,2,2,2,0, ,2,2,2,2,2,1,2,0,1,1,1,1,2,2,2,22781,3,3,1, , ,1,1,67,1,6,2,01
14,0219,11B167,01,40006,4,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,5, ,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,14041,4,4,2, , , ,2,65,2,5,2,07
14,0219,11B176,01,40131,3,1,0,01,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,2, ,2,2,2,2,3,3,3,0,1,1,1,3,3,3,3,16030,4,4,2, , , ,2,66,1,3,6,08
14,0219,11B176,01,40131,4,1,0,01,1,1,2,1,1,2,1,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,2,4, ,2,1,2,2,2,1,2,2,2, ,2,0,2,1,1, ,1,4, ,1,1,2,2,1,2,0,2,1,2, ,0,0,0,5,3, ,10,2,0, ,4,4,2,0, ,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,21866,1,3,1, ,2,2,1,39,1,3,3,01
14,0219,11B176,01,40131,2,1,0,01,1,1,1,2,2,2,1,1,4, ,2,2,1,2,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,3, ,60,2,0, ,3,3,1,0, ,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,33063,1,2,1,2, , ,1,47,2,3,3,01
14,0219,11B176,01,40131,1,1,0,01,1,1,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,3,3, ,2,1,2,2,1,2,0,2,1,2, ,0,0,0,0,0, ,15,2,0, ,2,3,2,0, ,2,2,2,2,3,3,3,0,1,1,1,3,3,3,3,14578,1,3,1, , ,2,1,42,1,2,2,01
14,0219,12B176,01,40132,1,1,0,01,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,1, ,2,2,2,2,3,3,3,0,3,0,1,3,3,3,3,24608,4,4,2, , , ,2,67,1,6,2,08
14,0219,12B176,01,40132,2,1,0,02,1,1,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,2,3, ,2,1,2,2,1,2,0,2,1,2, ,0,0,0,0,0, ,20,2,0, ,3,3,2,0, ,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,15907,1,3,1, , ,2,1,45,1,6,2,01
14,0219,12B176,01,40132,3,1,0,01,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,3,1,3,0,1,1,1,3,3,3,3,23860,4,4,2, , , ,2,51,1,3,6,01
14,0219,12B176,01,40132,4,1,0,02,1,1,1,2,2,2,1,1,4, ,2,2,1,2,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1,4, ,30,2,0, ,3,3,1,0, ,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,13535,1,2,1,2, , ,1,50,2,3,3,01
14,0219,12A172,01,40135,4,1,0,05,1,1,1,2,2,2,1,5,4, ,2,2,2,1,1,2, ,3,260,1,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,4, ,40,2,0, ,2,3,1,0, ,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,42477,1,2,1,3, , ,1,29,1,5,7,01
14,0219,12A172,01,40135,2,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,12220,4,4,2, , , ,2,62,2,6,2,07
14,0219,12A172,01,40135,3,1,0,01,1,1,1,2,2,2,2,5,4, ,2,2,2,1,2,2, ,3,240,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,40,2,0, ,2,3,1,0, ,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,18329,1,1,1,2, , ,1,63,2,3,4,08
14,0219,12A172,01,40135,1,1,0,01,1,1,1,2,2,2,2,4,4, ,2,2,1,1,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,30,2,0, ,2,3,2,0, ,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,7846,1,1,1,2, , ,1,73,2,3,3,08
14,0219,11A172,01,40140,1,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,2,2,2,0,1,1,1,2,2,2,2,11333,4,4,2, , , ,2,56,2,3,3,07
14,0219,11A172,01,40140,2,1,0,03,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,42800,4,4,2, , , ,2,24,1,3,3,01
14,0219,11A172,01,40140,4,1,0,02,1,1,1,2,2,2,2,1,5, ,2,2,1,2,2,2, ,3,210,1,2,2, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,30,2,0, ,2,3,2,0, ,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,19480,1,1,1,1, , ,1,47,2, ,0,01
14,0219,11A172,01,40140,3,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,19563,4,4,2, , , ,2,41,2,3,3,07
