NOMBRE_CAMPO,LONGITUD,TIPO,MNEMÓNICO,CATÁLOGO,RANGO_CLAVES   
Folio ,6,C,folio ,,"1 Zona, 1 - 3 Estrato, Últimos 4 panel de rotación"
Entidad ,2,C,entidad,entidad ,01...32
Control ,5,C,control,,00001-99999
Vivienda seleccionada ,1,C,viv_sel ,viv_sel ,1…9
Número de hogar ,1,C,num_hog,num_hog,1…9
hogar mudado ,1,C,hog_mud,hog_mud ,"1, 2"
Número de renglón del informante elegido  ,2,C,n_ren_el,n_ren_el,01…10
Ciudad autorrepresentada ,2,N,cd,cd,01…43
Periodo ,4,C,periodo,periodo,221
Sexo,1,C,sexo,sexo ," 1, 2"
Edad,2,N,edad,edad ,18…98
Nivel de instrucción,2,C,nivel ,nivel,"00…09, 99"
 ¿Hasta que año o grado aprobó en la escuela?,1,C,anio ,anio ,"1…8, 9 "
Condición de actividad ¿La semana pasada… ,2,N,cond_act,cond_activ,"01…10, 99"
1. ¿Usted sabe leer y escribir un recado?,1,N,p1,c_si_no,"1,2"
2. ¿Usted acostumbra leer?,1,N,p2,c_si_no,"1,2, blanco"
"3a. en los últimos doce meses, leyó LIBROS?        ",1,N,p3_1,c_si_no,"1,2, blanco"
"3b. en los últimos tres meses, leyó REVISTAS?   ",1,N,p3_2,c_si_no,"1,2, blanco"
"3c. la semana pasada, leyó PERIÓDICOS?",1,N,p3_3,c_si_no,"1,2, blanco"
"3d. lee HISTORIETAS como Archie, Memín Pinguín o Marvel? ",1,N,p3_4,c_si_no,"1,2, blanco"
"3e. sin considerar redes sociales como Facebook y Twitter, lee PÁGINAS DE INTERNET, FOROS                        O BLOGS?",1,N,p3_5,c_si_no,"1,2, blanco"
4. ¿Cuántos libros leyó en los últimos doce meses?,2,N,p4,cp_cantidad,"01…99, blanco"
5. ¿Cuál fue el motivo principal por el que usted leyó el (los) libro(s)? ,1,N,p5,cp_motivo,"1…6, blanco"
